Gene_id,SPORO_1,SPORO_2,SPORO_3,WALL_1,WALL_2,WALL_3
cgd3_3930-RA-p1,151030000.0,552160000.0,66779000.0,440760000.0,203870000.0,463840000.0
cgd3_3940-RA-p1,42920.0,3904300.0,200150.0,0.0,0.0,0.0
cgd3_3950-RA-p1,448610.0,78340000.0,1629400.0,2003600.0,1583000.0,13817000.0
cgd3_3970-RA-p1,122200.0,23611000.0,232380.0,588570.0,5561000.0,2419800.0
cgd3_4010-RA-p1,1022900.0,56252000.0,1459600.0,1781200.0,6043000.0,4631200.0
cgd3_4020-RA-p1,865660.0,63774000.0,4126300.0,11880000.0,3087500.0,1852800.0
cgd3_4030-RA-p1,65584.0,34642000.0,1950100.0,6437400.0,1594800.0,2917600.0
cgd3_4080-RA-p1,0.0,6100900.0,0.0,0.0,0.0,0.0
cgd3_4090-RA-p1,0.0,339440.0,0.0,0.0,0.0,80418.0
cgd3_40-RA-p1,1020500.0,12754000.0,419610.0,803050.0,36804000.0,1239100.0
cgd3_410-RA-p1,29119.0,2908300.0,0.0,0.0,0.0,461570.0
cgd3_4150-RA-p1,0.0,1489800.0,0.0,319600.0,0.0,0.0
cgd3_4160-RA-p1,0.0,1662800.0,0.0,0.0,0.0,408230.0
cgd3_4180-RA-p1,0.0,3219600.0,11375.0,0.0,0.0,155360.0
cgd3_4190-RA-p1,172000.0,20274000.0,66202.0,103030.0,1963500.0,1884200.0
cgd3_420-RA-p1,0.0,1283400.0,0.0,0.0,0.0,59328.0
cgd3_4240-RA-p1,9158.7,1192600.0,0.0,0.0,0.0,0.0
cgd3_4250-RA-p1,0.0,2414600.0,989410.0,0.0,0.0,0.0
cgd3_4260-RA-p1,485110.0,10010000.0,7808.8,333970.0,3281100.0,471190.0
cgd3_430-RA-p1,2712.3,458060.0,0.0,0.0,0.0,291140.0
cgd3_4330-RA-p1,0.0,250380.0,0.0,0.0,324740.0,0.0
cgd3_440-RA-p1,0.0,1797300.0,0.0,1648700.0,18636000.0,2985100.0
cgd3_450-RA-p1,0.0,469800.0,33162.0,0.0,0.0,258540.0
cgd3_460-RA-p1,16415000.0,541420000.0,26110000.0,50406000.0,126070000.0,38039000.0
cgd3_470-RA-p1,0.0,797140.0,0.0,0.0,0.0,1250800.0
cgd3_480-RA-p1,0.0,1622300.0,75032.0,0.0,0.0,848400.0
cgd3_490-RA-p1,21792000.0,448490000.0,30624000.0,50196000.0,76314000.0,303190000.0
cgd3_500-RA-p1,3112300.0,72692000.0,7009100.0,7944700.0,15619000.0,65410000.0
cgd3_50-RA-p1,0.0,362180.0,0.0,0.0,0.0,0.0
cgd3_510-RA-p1,2050100.0,256720000.0,4499000.0,18345000.0,14645000.0,63597000.0
cgd3_530-RA-p1,1000500.0,25475000.0,636970.0,687690.0,2883100.0,9455800.0
cgd3_540-RA-p1,0.0,1680100.0,0.0,0.0,0.0,0.0
cgd3_550-RA-p1,49968.0,58755000.0,0.0,2231000.0,1080200.0,9259800.0
cgd3_560-RA-p1,864000.0,12030000.0,1184100.0,524840.0,0.0,1413100.0
cgd3_570-RA-p1,38624.0,95060.0,0.0,173170.0,0.0,870330.0
cgd3_590-RA-p1,254250.0,7536700.0,0.0,7734.7,440160.0,1334100.0
cgd3_600-RA-p1,2615200.0,47093000.0,1040900.0,1877100.0,1842900.0,11132000.0
cgd3_640-RA-p1,6151600.0,158110000.0,5864700.0,4037800.0,7269800.0,8902900.0
cgd3_650-RA-p1,238520.0,10478000.0,199840.0,48337.0,99337.0,772280.0
cgd3_660-RA-p1,285500.0,58588000.0,1691500.0,8849600.0,36392000.0,12011000.0
cgd3_693-RA-p1,0.0,1029300.0,0.0,0.0,0.0,39786.0
cgd3_710-RA-p1,0.0,125980.0,0.0,0.0,0.0,385880.0
cgd3_760-RA-p1,260900.0,64972000.0,2558300.0,2765300.0,3223400.0,7523900.0
cgd3_80-RA-p1,3386100.0,116510000.0,6262100.0,1873900.0,1835900.0,8347200.0
cgd3_820-RA-p1,0.0,5901900.0,2512100.0,2614100.0,2391900.0,340530.0
cgd3_830-RA-p1,20785000.0,576910000.0,58502000.0,269720000.0,416440000.0,115750000.0
cgd3_840-RA-p1,0.0,4027700.0,131030.0,0.0,0.0,2157000.0
cgd3_850-RA-p1,0.0,1556300.0,0.0,0.0,0.0,0.0
cgd3_860-RA-p1,15257000.0,356650000.0,30105000.0,88195000.0,55620000.0,19751000.0
cgd3_880-RA-p1,10483000.0,46199000.0,9398000.0,39685000.0,7268400.0,24955000.0
cgd3_920-RA-p1,3610400.0,205360000.0,6115200.0,5338600.0,24647000.0,22126000.0
cgd3_980-RA-p1,632630.0,12304000.0,185240.0,1398200.0,18395000.0,10240000.0
cgd4_1010-RA-p1,0.0,224450.0,0.0,0.0,0.0,0.0
cgd4_1020-RA-p1,0.0,442650.0,0.0,0.0,0.0,0.0
cgd4_1030-RA-p1,2393700.0,106210000.0,3215100.0,5259500.0,3114300.0,18486000.0
cgd4_1070-RA-p1,1802500.0,70811000.0,4940400.0,6520900.0,2571900.0,11740000.0
cgd4_1080-RA-p1,161220.0,4874800.0,43276.0,0.0,0.0,109010.0
cgd4_1103-RA-p1,0.0,4618000.0,905010.0,164400.0,910810.0,0.0
cgd4_110-RA-p1,0.0,281370.0,0.0,0.0,0.0,0.0
cgd4_1120-RA-p1,291200.0,27110000.0,69834.0,596430.0,0.0,474810.0
cgd4_1133-RA-p1,15716000.0,36093000.0,36582000.0,333320000.0,5964800.0,138670000.0
cgd4_1150-RA-p1,0.0,8844900.0,94187.0,415610.0,632080.0,0.0
cgd4_1170-RA-p1,15993000.0,156920000.0,8157100.0,8330000.0,8479900.0,40304000.0
cgd4_1200-RA-p1,0.0,2281900.0,0.0,0.0,0.0,282920.0
cgd4_1230-RA-p1,93282000.0,739080000.0,80914000.0,324380000.0,528690000.0,111250000.0
cgd4_1240-RA-p1,0.0,810300.0,0.0,0.0,0.0,0.0
cgd4_1300-RA-p1,0.0,11373000.0,0.0,4978600.0,0.0,2140400.0
cgd4_1350-RA-p1,229170.0,39799000.0,953280.0,1968200.0,299860.0,17298000.0
cgd4_140-RA-p1,0.0,696210.0,0.0,676450.0,0.0,142510.0
